scenario,question,level,time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
no_latent,Q2,M,3000.0,fixed-domain-moisture,650.0,-1.2846463153899858e-05,1.2846463153899858e-05,-1.2846463144730182e-05,-9.169675449179938e-15,3.477985290896947e-11
no_latent,Q2,M,3120.0,fixed-domain-moisture,650.0,-1.2746578519897496e-05,1.2746578519897496e-05,-1.2746578508411915e-05,-1.1485580417519917e-14,3.6910927269945815e-11
no_latent,Q2,M,3240.0,fixed-domain-moisture,650.0,-1.2646548263688757e-05,1.2646548263688757e-05,-1.264654825570429e-05,-7.984467985866148e-15,3.274006215509334e-11
no_latent,Q2,M,3360.0,fixed-domain-moisture,650.0,-1.255114448349302e-05,1.255114448349302e-05,-1.2551144479361464e-05,-4.131555666163356e-15,2.748842103775395e-11
no_latent,Q2,M,3480.0,fixed-domain-moisture,650.0,-1.2457216748271942e-05,1.2457216748271942e-05,-1.245721674697215e-05,-1.299792386352458e-15,2.320947295743614e-11
no_latent,Q2,M,3600.0,fixed-domain-moisture,650.0,-1.2368564846269132e-05,1.2368564846269132e-05,-1.236856484268334e-05,-3.585792009456676e-15,2.538570186297332e-11
no_latent,Q2,M,3720.0,fixed-domain-moisture,650.0,-1.2277986501086812e-05,1.2277986501086812e-05,-1.2277986500472251e-05,-6.145613667485686e-16,2.2281964086838428e-11
no_latent,Q2,M,3840.0,fixed-domain-moisture,650.0,-1.2190810676683077e-05,1.2190810676683077e-05,-1.2190810677022196e-05,3.391181107627317e-16,2.1423833536535813e-11
no_latent,Q2,M,3960.0,fixed-domain-moisture,650.0,-1.2103989294519816e-05,1.2103989294519816e-05,-1.2103989296562885e-05,2.04306887976579e-15,1.978843591768569e-11
no_latent,Q2,M,4080.0,fixed-domain-moisture,650.0,-1.2019051532330569e-05,1.2019051532330569e-05,-1.2019051537261556e-05,4.930987055847859e-15,1.5782935787889217e-11
no_latent,Q2,M,4200.0,fixed-domain-moisture,650.0,-1.1933291335620773e-05,1.1933291335620773e-05,-1.193329133947668e-05,3.855907428204283e-15,1.8783963852193946e-11
no_latent,Q2,M,4320.0,fixed-domain-moisture,650.0,-1.1852009225755616e-05,1.1852009225755616e-05,-1.1852009228190819e-05,2.4352027826971684e-15,2.455316206438836e-11
no_latent,Q2,M,4440.0,fixed-domain-moisture,650.0,-1.1768657444250346e-05,1.1768657444250346e-05,-1.1768657451021245e-05,6.770898471346494e-15,1.4993958636628813e-11
no_latent,Q2,M,4560.0,fixed-domain-moisture,650.0,-1.1685701084449044e-05,1.1685701084449044e-05,-1.1685701089771564e-05,5.322519565386687e-15,1.9379517336330607e-11
no_latent,Q2,M,4680.0,fixed-domain-moisture,650.0,-1.160474129881269e-05,1.160474129881269e-05,-1.1604741304246972e-05,5.4342821746451025e-15,2.234064171531228e-11
no_latent,Q2,M,4800.0,fixed-domain-moisture,650.0,-1.152745540112795e-05,1.152745540112795e-05,-1.1527455407122576e-05,5.994624962439923e-15,2.1658030219864034e-11
no_latent,Q2,M,4920.0,fixed-domain-moisture,650.0,-1.1449070686507612e-05,1.1449070686507612e-05,-1.1449070692760465e-05,6.252853120805764e-15,2.187987382398963e-11
no_latent,Q2,M,5040.0,fixed-domain-moisture,650.0,-1.1368283198440168e-05,1.1368283198440168e-05,-1.1368283212825798e-05,1.438562979947256e-14,3.6480416447869176e-11
no_latent,Q2,M,5160.0,fixed-domain-moisture,650.0,-1.129149678314087e-05,1.129149678314087e-05,-1.1291496788481557e-05,5.340686728039397e-15,2.2483694179553655e-11
no_latent,Q2,M,5280.0,fixed-domain-moisture,650.0,-1.1213677337977155e-05,1.1213677337977155e-05,-1.1213677352878567e-05,1.4901411877978228e-14,3.658288881219789e-11
no_latent,Q2,M,5400.0,fixed-domain-moisture,650.0,-1.113573803706226e-05,1.113573803706226e-05,-1.113573805284778e-05,1.578551945733385e-14,3.656614231362786e-11
no_latent,Q2,M,5520.0,fixed-domain-moisture,650.0,-1.1056349091818443e-05,1.1056349091818443e-05,-1.1056349116734308e-05,2.4915865472706876e-14,4.6687337986603394e-11
no_latent,Q2,M,5640.0,fixed-domain-moisture,650.0,-1.0980337704119331e-05,1.0980337704119331e-05,-1.098033771836907e-05,1.424973860967866e-14,3.503249339373834e-11
no_latent,Q2,M,5760.0,fixed-domain-moisture,650.0,-1.0903529529300568e-05,1.0903529529300568e-05,-1.0903529542646158e-05,1.3345590230791002e-14,2.0494818527172283e-11
no_latent,Q2,M,5880.0,fixed-domain-moisture,650.0,-1.0825810728153292e-05,1.0825810728153292e-05,-1.0825810730475387e-05,2.3220950851185126e-15,2.297483391150397e-11
no_latent,Q2,M,6000.0,fixed-domain-moisture,650.0,-1.075172366537733e-05,1.075172366537733e-05,-1.0751723665890549e-05,5.132189568072751e-16,2.2851060495974906e-11
no_latent,Q2,M,6120.0,fixed-domain-moisture,650.0,-1.0677104926202665e-05,1.0677104926202665e-05,-1.067710492340693e-05,-2.7957338863664888e-15,2.4096978230160197e-11
no_latent,Q2,M,6240.0,fixed-domain-moisture,650.0,-1.060213489743012e-05,1.060213489743012e-05,-1.0602134913328393e-05,1.5898273095140553e-14,3.581800704766398e-11
no_latent,Q2,M,6360.0,fixed-domain-moisture,650.0,-1.0529291018466505e-05,1.0529291018466505e-05,-1.0529291016989897e-05,-1.4766088200258987e-15,2.2409980161972134e-11
no_latent,Q2,M,6480.0,fixed-domain-moisture,650.0,-1.0454043921608941e-05,1.0454043921608941e-05,-1.045404391149304e-05,-1.0115901036755401e-14,2.6610874845425357e-11
no_latent,Q2,M,6600.0,fixed-domain-moisture,650.0,-1.0379407798605885e-05,1.0379407798605885e-05,-1.037940779998334e-05,1.3774551432203103e-15,1.7039529120709342e-11
no_latent,Q2,M,6720.0,fixed-domain-moisture,650.0,-1.0303258570196712e-05,1.0303258570196712e-05,-1.030325856651887e-05,-3.67784246796659e-15,2.3084848568309273e-11
no_latent,Q2,M,6840.0,fixed-domain-moisture,650.0,-1.0228819381517009e-05,1.0228819381517009e-05,-1.0228819372803003e-05,-8.714005604875015e-15,2.4099240283649344e-11
